es_ID,paper_ID,cohort_ID,species_ID,species_common,species_latin,taxa,sex,n,k,est,R,fixed_yn,fixed_var,method,annual_event,location,country,long,lat,tag_period,notes,data_location,data_presentation,title,pub_year,authors,journal,DOI,Papers for Data Extraction::fulltext_ID
es045,p019,c028,s041,Common tern,Sterna hirundo,Seabird,B,1232,4.3,ICC,0.2,Y,Reproductive stage,Conventional,Arrival_breed,"Wilhelmshaven, Germany",Europe,8.099,53.505,Breeding,"Age includes first time-breeders, inexperiend and experienced","p. 686, text, results",text,Canalization of phenology in common terns: Genetic and phenotypic variations in spring arrival date,2013,"Arnaud, C. M. and Becker, P. H. and Dobson F. S. and Charmantier A.",Behavioral Ecology,10.1093/beheco/ars214,ft162
es046,p019,c029,s041,Common tern,Sterna hirundo,Seabird,B,648,4.4,ICC,0.35,Y,"Age, sex, breeding success in previous year",Conventional,Arrival_breed,"Wilhelmshaven, Germany",Europe,8.099,53.505,Breeding,Experienced breeders only,"p. 686, text, results",text,Canalization of phenology in common terns: Genetic and phenotypic variations in spring arrival date,2013,"Arnaud, C. M. and Becker, P. H. and Dobson F. S. and Charmantier A.",Behavioral Ecology,10.1093/beheco/ars214,ft162
es047,p020,c030,s035,Desertas petrel,Pterodroma deserta,Seabird,B,4,2,ICC,0.49,N,NA,GLS,Arrival_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es048,p020,c030,s035,Desertas petrel,Pterodroma deserta,Seabird,B,4,2,ICC,0.56,N,NA,GLS,Depart_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es049,p020,c031,s035,Desertas petrel,Pterodroma deserta,Seabird,B,6,2.5,ICC,0.62,N,NA,GLS,Depart_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es050,p020,c031,s035,Desertas petrel,Pterodroma deserta,Seabird,B,6,2.5,ICC,0.63,N,NA,GLS,Arrival_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es051,p020,c032,s035,Desertas petrel,Pterodroma deserta,Seabird,B,5,2.2,ICC,0.67,N,NA,GLS,Depart_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es052,p020,c032,s035,Desertas petrel,Pterodroma deserta,Seabird,B,5,2.2,ICC,0.68,N,NA,GLS,Arrival_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es053,p020,c033,s035,Desertas petrel,Pterodroma deserta,Seabird,B,7,1.7,ICC,0.9,N,NA,GLS,Depart_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es054,p020,c034,s035,Desertas petrel,Pterodroma deserta,Seabird,B,4,2,ICC,0.91,N,NA,GLS,Depart_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
